model,condition,trial_in_block,n_trials,accuracy,choice_entropy_bits,choice_switch_rate,prev_rule_error_rate
gpt-5.5-2026-04-23,RuleBlindFull,4,661,0.491679,1.233444,0.393343,0.220877
gpt-5.5-2026-04-23,RuleBlindFull,5,638,0.518809,1.249348,0.490596,0.214734
gpt-5.5-2026-04-23,RuleBlindFull,6,408,0.463235,1.151605,0.519608,0.267157
gpt-5.5-2026-04-23,RuleBlindFull,7,192,0.458333,0.866389,0.390625,0.265625
gpt-5.5-2026-04-23,RuleBlindFull,8,18,0.5,0.650022,0.222222,0.222222
gpt-5.5-2026-04-23,NoVeto,1,661,0.293495,0.79643,0.276853,0.396369
gpt-5.5-2026-04-23,NoVeto,2,661,0.325265,0.858433,0.282905,0.406959
gpt-5.5-2026-04-23,NoVeto,3,661,0.453858,1.388377,0.544629,0.199697
gpt-5.5-2026-04-23,NoVeto,4,661,0.434191,1.098588,0.540091,0.343419
gpt-5.5-2026-04-23,NoVeto,5,638,0.371473,0.850046,0.362069,0.360502
gpt-5.5-2026-04-23,NoVeto,6,408,0.348039,0.722441,0.289216,0.323529
gpt-5.5-2026-04-23,NoVeto,7,192,0.380208,0.616987,0.239583,0.317708
gpt-5.5-2026-04-23,NoVeto,8,18,0.444444,0.503258,0.222222,0.222222
gpt-5.5-2026-04-23,TrajectoryOnly,1,661,0.326778,1.088781,0.456884,0.355522
gpt-5.5-2026-04-23,TrajectoryOnly,2,661,0.320726,1.000234,0.444781,0.364599
gpt-5.5-2026-04-23,TrajectoryOnly,3,661,0.352496,0.925996,0.409985,0.319213
gpt-5.5-2026-04-23,TrajectoryOnly,4,661,0.360061,0.942105,0.369138,0.322239
gpt-5.5-2026-04-23,TrajectoryOnly,5,638,0.319749,0.996977,0.390282,0.351097
gpt-5.5-2026-04-23,TrajectoryOnly,6,408,0.303922,1.036424,0.404412,0.321078
gpt-5.5-2026-04-23,TrajectoryOnly,7,192,0.359375,0.887337,0.411458,0.338542
gpt-5.5-2026-04-23,TrajectoryOnly,8,18,0.388889,1.347223,0.5,0.222222
gpt-5.5-2026-04-23,YokedRandom,1,661,0.291982,0.980285,0.420575,0.411498
gpt-5.5-2026-04-23,YokedRandom,2,661,0.482602,1.427049,0.602118,0.087746
gpt-5.5-2026-04-23,YokedRandom,3,661,0.512859,1.414997,0.402421,0.075643
gpt-5.5-2026-04-23,YokedRandom,4,661,0.444781,1.225831,0.453858,0.207262
gpt-5.5-2026-04-23,YokedRandom,5,638,0.423197,1.240105,0.507837,0.216301
gpt-5.5-2026-04-23,YokedRandom,6,408,0.416667,1.145791,0.5,0.262255
gpt-5.5-2026-04-23,YokedRandom,7,192,0.427083,0.850296,0.375,0.276042
gpt-5.5-2026-04-23,YokedRandom,8,18,0.5,0.650022,0.222222,0.222222
gpt-5.5-2026-04-23,WSLSBudgeted,1,661,0.199697,1.167455,0.142209,0.586989
gpt-5.5-2026-04-23,WSLSBudgeted,2,661,0.414523,1.396609,0.562784,0.142209
gpt-5.5-2026-04-23,WSLSBudgeted,3,661,0.645991,1.314473,0.369138,0.149773
gpt-5.5-2026-04-23,WSLSBudgeted,4,661,0.609682,1.249011,0.157337,0.170953
gpt-5.5-2026-04-23,WSLSBudgeted,5,638,0.583072,1.190088,0.145768,0.184953
gpt-5.5-2026-04-23,WSLSBudgeted,6,408,0.551471,1.184225,0.147059,0.178922
gpt-5.5-2026-04-23,WSLSBudgeted,7,192,0.552083,1.087491,0.171875,0.182292
gpt-5.5-2026-04-23,WSLSBudgeted,8,18,0.444444,0.503258,0.166667,0.222222
gpt-5.5-2026-04-23,WSLSUnlimited,1,661,0.057489,1.533074,0.022693,0.868381
gpt-5.5-2026-04-23,WSLSUnlimited,2,661,0.500756,1.566042,0.88351,0.001513
gpt-5.5-2026-04-23,WSLSUnlimited,3,661,0.945537,1.57567,0.450832,0.004539
gpt-5.5-2026-04-23,WSLSUnlimited,4,661,0.950076,1.57721,0.01059,0.004539
gpt-5.5-2026-04-23,WSLSUnlimited,5,638,0.949843,1.577019,0.00627,0.003135
gpt-5.5-2026-04-23,WSLSUnlimited,6,408,0.941176,1.576215,0.004902,0.002451
gpt-5.5-2026-04-23,WSLSUnlimited,7,192,0.96875,1.558101,0.005208,0.0
gpt-5.5-2026-04-23,WSLSUnlimited,8,18,1.0,1.541982,0.0,0.0
gpt-5.5-2026-04-23,OracleFull,1,661,0.768533,1.503344,0.70348,0.0
gpt-5.5-2026-04-23,OracleFull,2,661,0.744327,1.476146,0.290469,0.0
gpt-5.5-2026-04-23,OracleFull,3,661,0.685325,1.410332,0.360061,0.068079
gpt-5.5-2026-04-23,OracleFull,4,661,0.437216,0.940665,0.552194,0.329803
gpt-5.5-2026-04-23,OracleFull,5,638,0.446708,1.014393,0.407524,0.304075
gpt-5.5-2026-04-23,OracleFull,6,408,0.57598,1.350926,0.598039,0.144608
gpt-5.5-2026-04-23,OracleFull,7,192,0.46875,0.957228,0.541667,0.296875
gpt-5.5-2026-04-23,OracleFull,8,18,0.611111,1.122114,0.333333,0.222222
gpt-5.4-mini-2026-03-17,RawLLM,1,661,0.325265,1.103619,0.526475,0.343419
gpt-5.4-mini-2026-03-17,RawLLM,2,661,0.32829,1.140196,0.503782,0.335855
gpt-5.4-mini-2026-03-17,RawLLM,3,661,0.329803,1.091859,0.517398,0.344932
gpt-5.4-mini-2026-03-17,RawLLM,4,661,0.3177,1.082176,0.491679,0.343419
gpt-5.4-mini-2026-03-17,RawLLM,5,638,0.344828,1.126764,0.53605,0.333856
gpt-5.4-mini-2026-03-17,RawLLM,6,408,0.291667,1.172564,0.512255,0.333333
gpt-5.4-mini-2026-03-17,RawLLM,7,192,0.333333,1.075998,0.510417,0.260417
gpt-5.4-mini-2026-03-17,RawLLM,8,18,0.555556,1.052941,0.222222,0.111111
gpt-5.4-mini-2026-03-17,RuleBlindFull,1,661,0.263238,1.278727,0.535552,0.484115
gpt-5.4-mini-2026-03-17,RuleBlindFull,2,661,0.406959,1.52605,0.715582,0.214826
gpt-5.4-mini-2026-03-17,RuleBlindFull,3,661,0.523449,1.519639,0.537065,0.16944
gpt-5.4-mini-2026-03-17,RuleBlindFull,4,661,0.484115,1.469283,0.544629,0.226929
gpt-5.4-mini-2026-03-17,RuleBlindFull,5,638,0.526646,1.480022,0.553292,0.246082
gpt-5.4-mini-2026-03-17,RuleBlindFull,6,408,0.443627,1.413315,0.578431,0.272059
gpt-5.4-mini-2026-03-17,RuleBlindFull,7,192,0.484375,1.329993,0.59375,0.197917
gpt-5.4-mini-2026-03-17,RuleBlindFull,8,18,0.666667,1.251629,0.333333,0.055556
gpt-5.4-mini-2026-03-17,NoVeto,1,661,0.266263,1.230544,0.529501,0.464448
gpt-5.4-mini-2026-03-17,NoVeto,2,661,0.301059,1.286195,0.517398,0.425113
gpt-5.4-mini-2026-03-17,NoVeto,3,661,0.357035,1.348135,0.559758,0.370651
gpt-5.4-mini-2026-03-17,NoVeto,4,661,0.388805,1.270338,0.549168,0.341906
gpt-5.4-mini-2026-03-17,NoVeto,5,638,0.431034,1.284777,0.559561,0.311912
gpt-5.4-mini-2026-03-17,NoVeto,6,408,0.443627,1.333094,0.52451,0.276961
gpt-5.4-mini-2026-03-17,NoVeto,7,192,0.46875,1.311177,0.541667,0.203125
gpt-5.4-mini-2026-03-17,NoVeto,8,18,0.666667,1.347223,0.444444,0.166667
gpt-5.4-mini-2026-03-17,TrajectoryOnly,1,661,0.32829,1.14357,0.541604,0.341906
gpt-5.4-mini-2026-03-17,TrajectoryOnly,2,661,0.320726,1.210648,0.526475,0.33888
gpt-5.4-mini-2026-03-17,TrajectoryOnly,3,661,0.329803,1.133561,0.540091,0.343419
gpt-5.4-mini-2026-03-17,TrajectoryOnly,4,661,0.314675,1.118632,0.503782,0.347958
gpt-5.4-mini-2026-03-17,TrajectoryOnly,5,638,0.34953,1.208493,0.561129,0.335423
gpt-5.4-mini-2026-03-17,TrajectoryOnly,6,408,0.286765,1.257958,0.551471,0.340686
gpt-5.4-mini-2026-03-17,TrajectoryOnly,7,192,0.34375,1.1872,0.557292,0.255208
gpt-5.4-mini-2026-03-17,TrajectoryOnly,8,18,0.555556,1.052941,0.277778,0.111111
gpt-5.4-mini-2026-03-17,YokedRandom,1,661,0.30711,1.358299,0.582451,0.403933
gpt-5.4-mini-2026-03-17,YokedRandom,2,661,0.408472,1.472317,0.674735,0.202723
gpt-5.4-mini-2026-03-17,YokedRandom,3,661,0.441755,1.482216,0.562784,0.189107
gpt-5.4-mini-2026-03-17,YokedRandom,4,661,0.411498,1.427873,0.564297,0.249622
gpt-5.4-mini-2026-03-17,YokedRandom,5,638,0.443574,1.42222,0.570533,0.257053
gpt-5.4-mini-2026-03-17,YokedRandom,6,408,0.389706,1.402682,0.610294,0.301471
gpt-5.4-mini-2026-03-17,YokedRandom,7,192,0.421875,1.373284,0.640625,0.208333
gpt-5.4-mini-2026-03-17,YokedRandom,8,18,0.611111,1.224394,0.333333,0.111111
gpt-5.4-mini-2026-03-17,WSLSBudgeted,1,661,0.2118,1.362448,0.293495,0.591528
gpt-5.4-mini-2026-03-17,WSLSBudgeted,2,661,0.426626,1.538017,0.6823,0.196672
gpt-5.4-mini-2026-03-17,WSLSBudgeted,3,661,0.593041,1.456346,0.500756,0.199697
gpt-5.4-mini-2026-03-17,WSLSBudgeted,4,661,0.568835,1.432076,0.3177,0.216339
gpt-5.4-mini-2026-03-17,WSLSBudgeted,5,638,0.576803,1.437186,0.355799,0.208464
gpt-5.4-mini-2026-03-17,WSLSBudgeted,6,408,0.536765,1.456405,0.367647,0.20098
gpt-5.4-mini-2026-03-17,WSLSBudgeted,7,192,0.5,1.358336,0.359375,0.192708
gpt-5.4-mini-2026-03-17,WSLSBudgeted,8,18,0.555556,1.052941,0.222222,0.111111
gpt-5.4-mini-2026-03-17,WSLSUnlimited,1,661,0.039334,1.568597,0.030257,0.934947
gpt-5.4-mini-2026-03-17,WSLSUnlimited,2,661,0.531014,1.576004,0.950076,0.001513
gpt-5.4-mini-2026-03-17,WSLSUnlimited,3,661,0.98941,1.584405,0.458396,0.0
gpt-5.4-mini-2026-03-17,WSLSUnlimited,4,661,0.992436,1.584405,0.003026,0.0
gpt-5.4-mini-2026-03-17,WSLSUnlimited,5,638,0.995298,1.584778,0.004702,0.001567
gpt-5.4-mini-2026-03-17,WSLSUnlimited,6,408,0.995098,1.584312,0.0,0.0
gpt-5.4-mini-2026-03-17,WSLSUnlimited,7,192,1.0,1.562091,0.0,0.0
gpt-5.4-mini-2026-03-17,WSLSUnlimited,8,18,1.0,1.541982,0.0,0.0
gpt-5.4-mini-2026-03-17,OracleFull,1,661,0.718608,1.507359,0.665658,0.0
gpt-5.4-mini-2026-03-17,OracleFull,2,661,0.712557,1.521574,0.372163,0.0
gpt-5.4-mini-2026-03-17,OracleFull,3,661,0.664145,1.500201,0.462935,0.060514
gpt-5.4-mini-2026-03-17,OracleFull,4,661,0.354009,1.163124,0.632375,0.343419
gpt-5.4-mini-2026-03-17,OracleFull,5,638,0.412226,1.251513,0.606583,0.319749
gpt-5.4-mini-2026-03-17,OracleFull,6,408,0.421569,1.3411,0.676471,0.254902
gpt-5.4-mini-2026-03-17,OracleFull,7,192,0.40625,1.209799,0.645833,0.234375
gpt-5.4-mini-2026-03-17,OracleFull,8,18,0.611111,1.224394,0.333333,0.111111
