error_streak_to_open,veto_window,rescue_error_streak,rescue_cooldown,belief_confirm_streak,mean_accuracy,mean_persistence,mean_interventions
3,3,0,6,2,0.425,8.8,3.5333
3,3,0,8,2,0.425,8.8,3.5333
2,4,3,6,1,0.4245,9.9667,5.8833
2,5,3,6,1,0.4245,9.9667,5.8833
2,2,3,6,1,0.4241,9.9833,5.8667
2,3,3,6,1,0.4241,9.9833,5.8667
3,3,4,6,2,0.4241,10.5,6.25
3,3,2,4,1,0.4236,11.4667,6.8667
3,4,2,4,1,0.4236,11.4667,6.8667
3,4,3,6,1,0.4236,10.1333,5.8
3,5,2,4,1,0.4236,11.4667,6.8667
3,5,3,6,1,0.4236,10.1333,5.8
3,3,3,6,1,0.4231,10.1333,5.7833
1,2,2,8,1,0.4227,8.8833,5.55
3,2,2,4,1,0.4227,11.5,6.8333
2,3,3,4,1,0.4222,10.25,6.8
2,4,3,4,1,0.4222,10.25,6.8
2,5,3,4,1,0.4222,10.25,6.8
2,2,3,4,1,0.4218,10.3,6.7833
2,2,4,8,2,0.4218,10.1667,5.2833
2,3,2,8,1,0.4218,9.0667,5.4333
2,3,4,4,1,0.4218,10.8333,6.0833
2,4,2,8,1,0.4218,9.0667,5.4333
2,4,4,4,1,0.4218,10.8167,6.0833
2,5,2,8,1,0.4218,9.0667,5.4333
2,5,4,4,1,0.4218,10.8167,6.0833
1,2,0,4,2,0.4213,8.3833,3.2333
1,2,0,6,2,0.4213,8.3833,3.2333
1,2,0,8,2,0.4213,8.3833,3.2333
2,2,4,4,1,0.4208,10.8833,6.0333
3,2,3,6,1,0.4208,10.1667,5.7333
1,5,3,8,1,0.4199,8.2833,4.9
1,2,4,8,2,0.4194,10.05,5.2167
2,2,0,4,2,0.4194,8.6167,3.1167
2,2,0,6,2,0.4194,8.6167,3.1167
2,2,0,8,2,0.4194,8.6167,3.1167
2,2,2,8,1,0.4194,9.1333,5.35
1,4,3,8,1,0.419,8.2833,4.8667
3,4,4,4,1,0.419,11.15,5.8333
3,5,4,4,1,0.419,11.15,5.8333
1,3,3,8,1,0.4185,8.3,4.85
3,3,4,4,1,0.4185,11.15,5.8167
3,2,4,4,1,0.4167,11.1667,5.75
1,2,3,8,1,0.4162,8.35,4.7667
3,2,4,8,2,0.4162,10.5167,5.15
1,5,4,8,1,0.4153,9.55,4.55
3,4,3,4,1,0.4148,10.4833,6.7167
3,5,3,4,1,0.4148,10.4833,6.7167
3,2,0,4,2,0.4144,8.9167,3.05
3,2,0,6,2,0.4144,8.9167,3.05
3,2,0,8,2,0.4144,8.9167,3.05
3,3,3,4,1,0.4144,10.4833,6.7
1,4,4,8,1,0.4139,9.6,4.5
3,2,3,4,1,0.4134,10.45,6.5833
1,3,4,8,1,0.4125,9.65,4.4833
2,2,4,6,2,0.4111,10.5333,5.8667
2,4,3,8,1,0.4097,8.6333,4.6167
2,5,3,8,1,0.4097,8.6333,4.6167
1,2,4,8,1,0.4093,9.8,4.3333
2,3,3,8,1,0.4093,8.65,4.6
1,5,4,6,1,0.4083,10.2167,5.5667
2,2,3,8,1,0.4083,8.65,4.5667
3,2,4,6,2,0.4083,10.8833,5.6833
1,4,4,6,1,0.4074,10.2667,5.5333
2,3,4,8,1,0.4069,9.9333,4.05
2,4,4,8,1,0.4069,9.9333,4.05
2,5,4,8,1,0.4069,9.9333,4.05
1,3,4,6,1,0.4065,10.3333,5.4833
3,3,3,8,1,0.4065,8.6833,4.4333
3,4,3,8,1,0.4065,8.7,4.45
3,5,3,8,1,0.4065,8.7,4.45
2,2,4,8,1,0.406,9.9333,4.0
1,2,4,6,2,0.4056,10.4167,5.8333
3,3,2,6,1,0.4051,10.8333,5.1167
3,4,2,6,1,0.4051,10.8333,5.1167
3,5,2,6,1,0.4051,10.8333,5.1167
3,2,3,8,1,0.4046,8.6833,4.35
3,2,2,6,1,0.4042,10.8667,5.0833
1,2,4,6,1,0.4032,10.4667,5.35
3,4,4,8,1,0.4032,10.1333,3.85
3,5,4,8,1,0.4032,10.1333,3.85
3,3,4,8,1,0.4028,10.1333,3.8333
3,2,4,8,1,0.4009,10.1667,3.7667
2,3,4,6,1,0.4005,10.6833,5.15
2,4,4,6,1,0.4005,10.6833,5.15
2,5,4,6,1,0.4005,10.6833,5.15
2,2,4,6,1,0.3991,10.7167,5.0833
3,2,2,8,1,0.3986,10.5833,4.4833
3,3,2,8,1,0.3986,10.5833,4.4833
3,4,2,8,1,0.3986,10.5833,4.4833
3,5,2,8,1,0.3986,10.5833,4.4833
3,4,4,6,1,0.394,11.0,4.9333
3,5,4,6,1,0.394,11.0,4.9333
3,3,4,6,1,0.3935,11.0,4.9167
3,2,4,6,1,0.3917,11.0333,4.85
1,4,0,4,1,0.3889,9.3333,2.2333
1,4,0,6,1,0.3889,9.3333,2.2333
1,4,0,8,1,0.3889,9.3333,2.2333
1,5,0,4,1,0.3889,9.3333,2.2333
1,5,0,6,1,0.3889,9.3333,2.2333
1,5,0,8,1,0.3889,9.3333,2.2333
1,3,0,4,1,0.3884,9.35,2.2167
1,3,0,6,1,0.3884,9.35,2.2167
1,3,0,8,1,0.3884,9.35,2.2167
1,2,0,4,1,0.387,9.3833,2.15
1,2,0,6,1,0.387,9.3833,2.15
1,2,0,8,1,0.387,9.3833,2.15
2,2,0,4,1,0.381,9.7833,1.8167
2,2,0,6,1,0.381,9.7833,1.8167
2,2,0,8,1,0.381,9.7833,1.8167
2,3,0,4,1,0.381,9.7833,1.8167
2,3,0,6,1,0.381,9.7833,1.8167
2,3,0,8,1,0.381,9.7833,1.8167
2,4,0,4,1,0.381,9.7833,1.8167
2,4,0,6,1,0.381,9.7833,1.8167
2,4,0,8,1,0.381,9.7833,1.8167
2,5,0,4,1,0.381,9.7833,1.8167
2,5,0,6,1,0.381,9.7833,1.8167
2,5,0,8,1,0.381,9.7833,1.8167
3,4,0,4,1,0.3778,9.95,1.7333
3,4,0,6,1,0.3778,9.95,1.7333
3,4,0,8,1,0.3778,9.95,1.7333
3,5,0,4,1,0.3778,9.95,1.7333
3,5,0,6,1,0.3778,9.95,1.7333
3,5,0,8,1,0.3778,9.95,1.7333
3,3,0,4,1,0.3773,9.95,1.7167
3,3,0,6,1,0.3773,9.95,1.7167
3,3,0,8,1,0.3773,9.95,1.7167
3,2,0,4,1,0.3764,9.95,1.6833
3,2,0,6,1,0.3764,9.95,1.6833
3,2,0,8,1,0.3764,9.95,1.6833
